LFQ Intensity ec1	LFQ Intensity ec2	LFQ Intensity ec3	LFQ Intensity pc1	LFQ Intensity pc2	LFQ Intensity pc3	MS/MS Count ec1	MS/MS Count ec2	MS/MS Count ec3	MS/MS Count pc1	MS/MS Count pc2	MS/MS Count pc3	Only identified by site	Reverse	Contaminant	Peptides	Razor + unique Peptides	Unique Peptides	Protein IDs	Protein Names	Gene Names
-12.56135	-7.988067	-13.00901	-9.405752	-14.37151	16.64005	1	1	1	0	0	0				2	1	1	A6NHL2;A6NHL2-2	Tubulin alpha chain-like 3	TUBAL3
-18.3428	-5.515328	-11.6108	-14.80355	-7.519837	-10.10585	0	0	0	0	0	0	+			1	1	1	Q8NI27;Q8NI27-2;E9PHG2;Q5JZ13;A6PVD0	hTREX120;THO complex subunit 2;THO complex 2	CXorf3;THOC2;RP5-1189B24.5-009;RP5-1189B24.5-008
-8.070804	19.27394	18.9881	-16.03139	-4.297441	-12.72701	0	1	1	0	0	0				2	2	2	A8K0T9;P52907	cDNA FLJ75422, highly similar to Homo sapiens capping protein (actin filament) muscle Z-line, alpha 1, mRNA;CapZ alpha-1;F-actin-capping protein subunit alpha-1	CAPZA1
-6.645485	-3.159239	-6.579911	-7.806178	-10.67114	16.4076	1	1	0	0	0	0				1	1	1	B2R8N1;Q53QS9;Q99627;E9PGT6;A8K1H6	cDNA, FLJ93976, highly similar to Homo sapiens COP9 homolog (COP9), mRNA;COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis), isoform CRA_a;Putative uncharacterized protein COP9;COP9 homolog;COP9 signalosome complex subunit 8;JAB1-containing signalosome subunit 8;cDNA FLJ75974, highly similar to Homo sapiens COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis) (COPS8), transcript variant 2, mRNA;COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis), isoform CRA_b;Putative uncharacterized protein COPS8	COP9;COPS8;hCG_1776875;CSN8
22.1986	22.38929	22.38087	21.16944	21.32592	21.29418	7	8	3	1	4	3				5	5	5	A8K220;A8K486;P62937;B2RE56;B4DM82;C9J5S7;Q71V99;Q567Q0;E5RIZ5	Peptidyl-prolyl cis-trans isomerase;Cyclophilin A;Cyclosporin A-binding protein;Peptidyl-prolyl cis-trans isomerase A;Rotamase A	PPIA;CYPA
21.44294	21.35676	21.02439	27.51676	27.83744	27.34908	2	2	1	43	39	44				24	24	1	A8K2X8;E7ENZ3;B4DYC8;B4DE30;B4DYD8;Q96GI1;B4DZY9;Q9HB74;D6RIZ7	cDNA FLJ78433, highly similar to Homo sapiens chaperonin containing TCP1, subunit 5 (epsilon) (CCT5), mRNA;cDNA FLJ52361, highly similar to T-complex protein 1 subunit epsilon;cDNA FLJ51711, highly similar to T-complex protein 1 subunit epsilon;cDNA FLJ52362, highly similar to T-complex protein 1 subunit epsilon;Putative uncharacterized protein	
-8.780886	-17.22744	-11.99804	-11.46239	-9.619148	-16.34999	1	1	1	1	0	1				7	1	1	A8K3K1;P68032;P68133;B7Z6P1;D2JYH4;P62736;P63267;A6NL76;Q5T8M8;B3KW67;B3KUD3;Q5T8M7;B4DUI8;Q13707;E7EQV5;Q7Z7J6;B4E315;E9PG30;B7Z6I1;Q5T9N7;C9JFL5;B8ZZJ2;C9JZR7;C9JUM1;B3KPP5;C9JTX5;Q562L3;Q562M3;Q562M5;Q562N2;Q562P8;Q562Q0;Q562Q2;Q562Q4;Q562Q6;Q562Q8;Q562Q9;Q562R0;Q562R5;Q562R6;Q562T0;Q562T3;Q562T4;Q562T5;Q562T6;Q562T8;Q562U0;Q562U1;Q562W2;Q562X0;Q562X1;Q562X2;Q562X4;Q562X6;Q562X7;Q562Y4;Q562Y8;A0AUL6	cDNA FLJ78096, highly similar to Homo sapiens actin, alpha, cardiac muscle (ACTC), mRNA;Actin, alpha cardiac muscle 1;Alpha-cardiac actin;Actin, alpha skeletal muscle;Alpha-actin-1;cDNA FLJ53662, highly similar to Actin, alpha skeletal muscle;Actin, alpha 2, smooth muscle, aorta;Actin, alpha 2, smooth muscle, aorta, isoform CRA_a;Actin, aortic smooth muscle;Alpha-actin-2;Cell growth-inhibiting gene 46 protein;Actin, gamma-enteric smooth muscle;Alpha-actin-3;Gamma-2-actin;Smooth muscle gamma-actin;Putative uncharacterized protein ACTA1;Actin, alpha 1, skeletal muscle;cDNA FLJ42347 fis, clone UTERU2003399, highly similar to Actin, gamma-enteric smooth muscle;cDNA FLJ39583 fis, clone SKMUS2004897, highly similar to ACTIN, ALPHA SKELETAL MUSCLE;cDNA FLJ52761, highly similar to Actin, aortic smooth muscle;ACTA2 protein;Actin alpha 1 skeletal muscle protein;cDNA FLJ51195, highly similar to Actin, gamma-enteric smooth muscle	ACTC;ACTC1;ACTA;ACTA1;ACTA2;hCG_22984;ACTSA;ACTVS;GIG46;ACTA3;ACTG2;ACTL3;ACTSG;RP5-1068B5.2-003;RP5-1068B5.2-002
20.76418	20.74993	21.21561	21.25678	21.20574	20.81245	1	1	0	1	0	1				3	3	3	A8K4I2;P16403;P16402;A3R0T7;A3R0T8;B2R984;P10412;Q4VB24;Q02539;A1L407;P22492	cDNA FLJ76039, highly similar to Homo sapiens histone 1, H1c (HIST1H1C), mRNA;Histone 1, H1c;Histone H1.2;Histone H1d;Histone H1.3;Histone H1c;Liver histone H1e;Histone 1, H1e;Histone H1e;cDNA, FLJ94268, highly similar to Homo sapiens histone 1, H1e (HIST1H1E), mRNA;Histone H1.4;Histone H1b;Histone cluster 1, H1e	hCG_1640485;HIST1H1C;H1F2;H1F3;HIST1H1D;hCG_1645742;HIST1H1E;H1F4
-10.2706	18.26467	-12.02999	-12.49216	-4.80777	-9.250307	0	1	0	0	0	0				2	2	2	Q99615;A8K4T2;Q59EH7;B7Z9W6;Q7Z784;B4DKK3	DnaJ homolog subfamily C member 7;Tetratricopeptide repeat protein 2;cDNA FLJ76281, highly similar to Homo sapiens DnaJ (Hsp40) homolog, subfamily C, member 7 (DNAJC7), mRNA;DnaJ (Hsp40) homolog, subfamily C, member 7 variant;cDNA, FLJ78980, highly similar to DnaJ homolog subfamily C member 7;cDNA FLJ51941, highly similar to DnaJ homolog subfamily C member 7;DnaJ (Hsp40) homolog, subfamily C, member 7, isoform CRA_a;DNAJC7 protein;cDNA FLJ54791, highly similar to DnaJ homolog subfamily C member 7	DNAJC7;TPR2;TTC2;hCG_16581
19.52338	19.43561	19.70301	18.72341	19.21295	19.45617	2	2	1	1	2	2				2	2	2	B4DSZ4;E7EWS7;A8K4W8;P68036;B4DDG1	Ubiquitin carrier protein;L-UBC;UbcH7;Ubiquitin carrier protein L3;Ubiquitin-conjugating enzyme E2 L3;Ubiquitin-conjugating enzyme E2-F1;Ubiquitin-protein ligase L3	UBCE7;UBCH7;UBE2L3
17.82607	-15.11839	-13.71657	-9.695791	-14.91231	-20.01069	0	0	0	0	0	0				2	2	2	A8K4Z4;P05388;Q53HW2;Q8NHW5;B4E3D5;Q3B7A4;Q6NSF2;Q53HK9	cDNA FLJ75549, highly similar to Homo sapiens ribosomal protein, large, P0 (RPLP0), transcript variant 1, mRNA;60S acidic ribosomal protein P0;60S ribosomal protein L10E;Ribosomal protein P0 variant;60S acidic ribosomal protein P0-like;cDNA FLJ51469, highly similar to 60S acidic ribosomal protein P0;RPLP0 protein	RPLP0
20.3722	19.70376	20.21916	19.89714	19.99175	20.05457	3	2	2	3	3	0				6	5	3	Q59EJ3;A8K5I0;P08107;B4DNT8;B4DWK5;B4DI39;B4E3B6;B4DFN9;E7EP94;B4E388;B4E1S9;B4DVU9;B4DNV4;C9JCM4;E7EP11;B2R6X5;B3KSM6;P17066;Q53FC7;B3KTT5;Q5SP16;B4DNX1;B4E1T6;P48741;B4DHP5	Heat shock 70kDa protein 1A variant;cDNA FLJ75127, highly similar to Homo sapiens heat shock 70kDa protein 1A, mRNA;Heat shock 70kDa protein 1A;Heat shock 70kDa protein 1B;Heat shock 70 kDa protein 1/2;Heat shock 70 kDa protein 1A/1B;cDNA FLJ54370, highly similar to Heat shock 70 kDa protein 1;cDNA FLJ54392, highly similar to Heat shock 70 kDa protein 1;cDNA FLJ54328, highly similar to Heat shock 70 kDa protein 1;cDNA FLJ54408, highly similar to Heat shock 70 kDa protein 1;cDNA FLJ54303, highly similar to Heat shock 70 kDa protein 1;cDNA FLJ54407, highly similar to Heat shock 70 kDa protein 1;cDNA FLJ54283, highly similar to Heat shock 70 kDa protein 1;cDNA FLJ54389, highly similar to Heat shock 70 kDa protein 1;cDNA FLJ53071, highly similar to Heat shock 70 kDa protein 1;Putative uncharacterized protein ENSP00000396508;Putative uncharacterized protein HSPA1B	DAAP-21F2.7-001;DAAP-21F2.8-001;DADB-333F21.2-001;DADB-333F21.4-001;hCG_1820593;hCG_43726;HSPA1A;HSPA1B;HSPA1
-11.04554	-8.394851	-12.22395	-12.15968	-9.030668	-9.055989	1	1	0	0	0	0				1	1	1	A8K5T7;Q9Y2Z0;A8K7W3;Q9Y2Z0-2;B4DYC6	cDNA FLJ75365, highly similar to Homo sapiens SUGT1B (SUGT1) mRNA;Protein 40-6-3;Sgt1;Suppressor of G2 allele of SKP1 homolog;cDNA FLJ75780, highly similar to Homo sapiens SGT1, suppressor of G2 allele of SKP1 (SUGT1), mRNA;cDNA FLJ60958, highly similar to Homo sapiens SGT1, suppressor of G2 allele of SKP1 (SUGT1), mRNA	SUGT1
25.01933	25.02817	25.25324	24.37498	24.61352	24.12123	3	3	3	5	2	4				4	4	4	Q59EM9;Q66K58;P0CG48;A8K674;Q96H31;Q96MH4;Q96C32;Q9UFQ0;P0CG47;Q5PY61;Q5U5U6;B2RDW1;P62979;Q5RKT7;B4DV12;Q5UGI3;P62987;Q3MIH3;Q49A90;Q8WYN9	Ubiquitin C variant;Putative uncharacterized protein;cDNA FLJ75516, highly similar to Xenopus tropicalis ubiquitin C, mRNA;UBC protein;cDNA FLJ32377 fis, clone SKMUS1000014, highly similar to Polyubiquitin 9;Putative uncharacterized protein DKFZp434K0435;Ubiquitin C splice variant;Ubiquitin B;Ubiquitin B, isoform CRA_a;cDNA, FLJ96793, Homo sapiens ribosomal protein S27a (RPS27A), mRNA;Ribosomal protein S27a, isoform CRA_c;40S ribosomal protein S27a;Ribosomal protein S27a;cDNA FLJ51326, highly similar to Homo sapiens ubiquitin B (UBB), mRNA;60S ribosomal protein L40;CEP52;cDNA, FLJ95576, Homo sapiens ubiquitin A-52 residue ribosomal protein fusionproduct 1 (UBA52), mRNA;Ubiquitin A-52 residue ribosomal protein fusion product 1;Ubiquitin A-52 residue ribosomal protein fusion product 1, isoform CRA_a;RPS27A protein;Ribosomal protein S27A	UBC;DKFZp434K0435;hCG_1998947;UBB;hCG_1987923;RPS27A;UBA80;UBCEP1;UBA52;UBCEP2;hCG_37048
-15.79622	-12.4429	-8.251936	-14.61531	-6.618255	-11.69185	1	0	0	0	0	0				2	2	2	Q3ZCU9;A8K690;P31948;B4DM70	STIP1 protein;cDNA FLJ76863, highly similar to Homo sapiens stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein) (STIP1), mRNA;Hsc70/Hsp90-organizing protein;Renal carcinoma antigen NY-REN-11;Stress-induced-phosphoprotein 1;Transformation-sensitive protein IEF SSP 3521;cDNA FLJ54451, highly similar to Stress-induced-phosphoprotein 1	STIP1
19.58187	19.67385	19.48418	-9.563393	-9.759739	-13.90931	1	1	1	0	0	0				2	2	2	Q05D08;Q9UQ80;Q6PIN5;A8K6Y1	PA2G4 protein;Cell cycle protein p38-2G4 homolog;ErbB3-binding protein 1;Proliferation-associated protein 2G4;cDNA FLJ75526, highly similar to Homo sapiens proliferation-associated 2G4, 38kDa (PA2G4), mRNA	PA2G4;EBP1
20.29019	-3.275673	18.7028	-9.760659	-11.02793	-8.931159	1	0	0	0	0	0				3	3	3	Q14240-2;Q14240;A8K7F6;P60842;E7EQG2;Q9NZE6;B4DNH2;A8K088;Q96B07;Q59F68;B4DJX6;B4DKP9	ATP-dependent RNA helicase eIF4A-2;Eukaryotic initiation factor 4A-II;cDNA FLJ78244, highly similar to Homo sapiens eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA;ATP-dependent RNA helicase eIF4A-1;Eukaryotic initiation factor 4A-I;BM-010;Eukaryotic translation initiation factor 4A, isoform 2, isoform CRA_b;cDNA FLJ58596, highly similar to Eukaryotic initiation factor 4A-I (EC 3.6.1.-);cDNA FLJ78614, highly similar to Homo sapiens eukaryotic translation initiation factor 4A, isoform 1 (EIF4A1), mRNA;EIF4A2 protein	DDX2B;EIF4A2;EIF4F;DDX2A;EIF4A;EIF4A1;hCG_1784041
22.9206	23.02955	22.65014	21.91368	21.96141	22.22335	5	6	4	4	4	5				5	4	4	Q59HD4;A8K7X6;Q68Y55;B4DLC0;Q6IPF4;Q15366;Q32Q82;B4DXP5;B4DRD7;P57721;P57721-4;A8MX33;E9PFP8;Q5MJP6;P57721-5;P57721-3;P57721-2	Poly(RC)-binding protein 2 isoform b variant;cDNA FLJ77432, highly similar to Homo sapiens poly(rC) binding protein 2 (PCBP2), transcript variant 2, mRNA;Poly(RC) binding protein 2, isoform CRA_b;Poly(RC) binding protein 2;Poly(RC) binding protein 2, isoform CRA_a;cDNA FLJ58476, highly similar to Poly(rC)-binding protein 2;Poly(RC) binding protein 2, isoform CRA_d;Alpha-CP2;Heterogeneous nuclear ribonucleoprotein E2;Poly(rC)-binding protein 2;PCBP2 protein;cDNA FLJ58339, highly similar to Poly(rC)-binding protein 2;cDNA FLJ54752, highly similar to Poly(rC)-binding protein 2;Alpha-CP3;Poly(rC)-binding protein 3;Putative uncharacterized protein PCBP3;Poly(RC) binding protein 3	hCG_2017557;PCBP2;PCBP3
-7.090923	-13.03055	17.60074	-15.48375	-7.483465	-9.849869	0	0	2	0	0	0				1	1	1	Q9UBL6;B7Z1M3;Q9HCH3;B7Z370;Q96A23-2;Q86YQ8;Q9UBL6-2;O95741;Q96A23;Q8IYJ1;A8K8A4;Q96FN4;O75131;B2RD40;Q719H8;B3KWK1;Q7Z6C8;Q86VY2;Q4G168	Copine VII;Copine-7;cDNA FLJ55997, highly similar to Copine-6;Copine V;Copine-5;cDNA FLJ56085, highly similar to Copine-4;Copine VIII;Copine-8;Copine VI;Copine-6;Neuronal-copine;Copine IV;Copine-4;Copine IX;Copine-9;cDNA FLJ77640, highly similar to Homo sapiens copine II (CPNE2), mRNA;Copine II;Copine-2;Copine III;Copine-3;cDNA, FLJ96442, highly similar to Homo sapiens copine II (CPNE2), mRNA;Putative uncharacterized protein;cDNA FLJ43205 fis, clone FEBRA2009185, highly similar to Copine-6;Copine VI (Neuronal), isoform CRA_a;Copine V, isoform CRA_d;CPNE5 protein;cDNA FLJ37679 fis, clone BRHIP2012922, highly similar to Copine-8;LOC144402 protein;CPNE4 protein	CPNE7;CPNE5;KIAA1599;CPNE8;CPNE6;CPNE4;CPNE9;CPNE2;CPN3;CPNE3;KIAA0636;hCG_40173;hCG_15370
-13.29258	-11.61868	-16.22564	-11.85453	-13.5876	-8.071517	1	1	1	0	1	0				1	1	1	Q13561-2;Q53H88;Q13561-3;Q13561;B3KTX4;A8K8J9	Dynactin 2 variant;50 kDa dynein-associated polypeptide;Dynactin complex 50 kDa subunit;Dynactin subunit 2;p50 dynamitin;cDNA FLJ38923 fis, clone NT2NE2011823, highly similar to Dynactin subunit 2;cDNA FLJ31120 fis, clone IMR322000730, highly similar to Dynactin subunit 2;cDNA FLJ77785;Dynactin 2 (P50), isoform CRA_b	DCTN2;DCTN50;hCG_2016464
25.19363	25.12912	24.41125	24.75903	24.928	24.59087	7	8	7	4	5	5				11	11	11	A8K9C4;P68104;Q53G85;Q53GE9;Q53HM9;Q53HQ7;Q53HR5;Q5VTE0;Q6IPN6;Q6IPS9;Q6IPT9;E7EUM7;Q6IQ15;B4DNE0;Q96RE1;Q53GA1;Q9NZS6;B4DV42;Q53G89;Q9H2I7;Q16577;Q53HR1;Q8IUB0;Q504Z0;Q6P4C9;Q96CD8;Q6P082;Q8TBL1;Q96C29;B4E2C5;Q05639;Q59GP5;Q14222;Q5JR01;A9X7H1;A6PW80;Q96EB3;E7EPH7;Q6NSH7;Q2F837;Q6NS35	Elongation factor 1-alpha;Elongation factor 1-alpha 1;Elongation factor Tu;Eukaryotic elongation factor 1 A-1;Leukocyte receptor cluster member 7;Eukaryotic elongation factor 1 A-like 3;Putative elongation factor 1-alpha-like 3;EEF1A1 protein;Putative uncharacterized protein;cDNA FLJ54032, highly similar to Elongation factor 1-alpha 1	EEF1A;EEF1A1;EF1A;LENG7;EEF1AL3;hCG_2033271;RP11-505P4.2-001;EEF1A1L14;PTI-1
-12.12438	-16.2057	-10.1214	-15.34898	-9.445698	-12.16657	0	0	0	0	0	0				1	1	1	A8KAH7;P13861;Q9BUB1	cDNA FLJ75444, highly similar to Homo sapiens protein kinase, cAMP-dependent, regulatory, type II, alpha (PRKAR2A), mRNA;cAMP-dependent protein kinase type II-alpha regulatory subunit;PRKAR2A protein;Protein kinase, cAMP-dependent, regulatory, type II, alpha;Protein kinase, cAMP-dependent, regulatory, type II, alpha, isoform CRA_b	PKR2;PRKAR2;PRKAR2A;hCG_1779456
-14.53446	-13.40562	-9.063076	-17.21276	-9.328329	-8.495333	0	0	0	0	0	0				2	2	2	A8KAY2;Q75N90;E7EP57;Q6ZNB8;B3KU56	Fibrillin 3;Fibrillin-3;cDNA FLJ16233 fis, clone FEBRA2028256, moderately similar to FIBRILLIN 2;cDNA FLJ39220 fis, clone OCBBF2006859, highly similar to Fibrillin-3	FBN3;KIAA1776
19.92454	-8.690648	-6.982073	-12.38774	-12.12938	-12.40572	1	0	0	0	0	0				1	1	1	Q9H2G2;Q9H2G2-2;REV__Q9P2R3-2;REV__Q9P2R3;REV__B3KPZ0;Q5M775;B4DZC9;A8MV89;B4E2A4;Q5M775-4;REV__Q5H9P4;Q5M775-2;Q5M775-3;Q5M775-5	CTCL tumor antigen se20-9;Serine/threonine-protein kinase 2;STE20-like serine/threonine-protein kinase;STE20-related serine/threonine-protein kinase;Cytospin-B;Nuclear structure protein 5;Sperm antigen HCMOGT-1;Sperm antigen with calponin homology and coiled-coil domains 1;cDNA FLJ61681, highly similar to STE20-like serine/threonine-protein kinase (EC2.7.11.1);Putative uncharacterized protein CYTSB;cDNA FLJ53275, highly similar to Homo sapiens spectrin domain with coiled-coils 1 (SPECC1), transcript variant, mRNA	KIAA0204;SLK;STK2;CYTSB;NSP5;SPECC1
-10.62001	-14.80463	-5.787057	-11.14217	-9.217167	-13.77398	0	0	0	0	0	0				1	1	1	A8MVA2	Keratin-associated protein 9-6	KAP9.6;KRTAP9.6;KRTAP9-6
19.71	19.57119	19.18175	18.66716	18.48562	18.95311	4	2	0	0	0	0				3	3	3	C9JS35;Q92890-1;B4E3I3;Q541A5;Q92890;A8MW31;C9J6N9;B7Z9N3;A6NJ11;C9IZG3;C9JNP9	Putative uncharacterized protein UFD1L;cDNA FLJ59614, highly similar to Ubiquitin fusion degradation protein 1 homolog;Ubiquitin fusion degradation 1 like (Yeast), isoform CRA_b;Ubiquitin fusion degradation 1 protein;Ubiquitin fusion degradation 1-like;Ubiquitin fusion degradation protein 1 homolog;cDNA, FLJ78897, highly similar to Ubiquitin fusion degradation protein 1 homolog	UFD1L;hCG_17901;ufd1
-10.82731	-4.6525	-5.913542	-11.42858	-14.86205	-13.279	1	1	0	0	0	1				1	1	1	A8MXP9;P43243;Q68D11;D6REM6;D6R991	Putative uncharacterized protein MATR3;Matrin-3;Putative uncharacterized protein DKFZp686K23100	MATR3;KIAA0723;DKFZp686K23100
21.74755	21.54628	21.21804	20.50048	20.27537	20.84805	9	5	5	1	3	3				4	4	4	C9JE52;A8MZ76;Q2TNB3;Q6FHK9;Q86SZ7;Q9UL46	Putative uncharacterized protein PSME2;Cell migration-inducing protein 22;PSME2 protein;Full-length cDNA clone CS0DJ015YJ12 of T cells (Jurkat cell line) of Homo sapiens (human);11S regulator complex subunit beta;Activator of multicatalytic protease subunit 2;Proteasome activator 28 subunit beta;Proteasome activator complex subunit 2	PSME2
